task_id,text,code,test_list,test_setup_code,challenge_test_list,function_name,codegen_prompt,pred_code
21,Write a function to find m number of multiples of n.,"def multiples_of_num(m,n): 
    multiples_of_num= list(range(n,(m+1)*n, n)) 
    return list(multiples_of_num)","['assert multiples_of_num(4,3)== [3,6,9,12]'
 'assert multiples_of_num(2,5)== [5,10]'
 'assert multiples_of_num(9,2)== [2,4,6,8,10,12,14,16,18]']",,[],multiples_of_num,"
<question>
Write a function to find m number of multiples of n.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: multiples_of_num</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def multiples_of_num(n, m):
    """"""
    This function generates and returns m number of multiples of n.
    
    Args:
        n (int): The base number for multiples.
        m (int): The number of multiples to generate.
    
    Returns:
        list: A list of m multiples of n.
    """"""
    return [i * n for i in range(1, m + 1)]"
22,Write a function to find the first duplicate element in a given array of integers.,"def find_first_duplicate(nums):
    num_set = set()
    no_duplicate = -1

    for i in range(len(nums)):

        if nums[i] in num_set:
            return nums[i]
        else:
            num_set.add(nums[i])

    return no_duplicate","['assert find_first_duplicate(([1, 2, 3, 4, 4, 5]))==4'
 'assert find_first_duplicate([1, 2, 3, 4])==-1'
 'assert find_first_duplicate([1, 1, 2, 3, 3, 2, 2])==1']",,[],find_first_duplicate,"
<question>
Write a function to find the first duplicate element in a given array of integers.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: find_first_duplicate</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def find_first_duplicate(nums):
    seen = set()
    for num in nums:
        if num in seen:
            return num
        seen.add(num)
    return None"
23,Write a python function to find the maximum sum of elements of list in a list of lists.,"def maximum_Sum(list1): 
    maxi = -100000
    for x in list1: 
        sum = 0 
        for y in x: 
            sum+= y      
        maxi = max(sum,maxi)     
    return maxi ","['assert maximum_Sum([[1,2,3],[4,5,6],[10,11,12],[7,8,9]]) == 33'
 'assert maximum_Sum([[0,1,1],[1,1,2],[3,2,1]]) == 6'
 'assert maximum_Sum([[0,1,3],[1,2,1],[9,8,2],[0,1,0],[6,4,8]]) == 19']",,"['assert maximum_Sum([[0,-1,-1],[-1,-1,-2],[-3,-2,-1]]) == -2']",maximum_Sum,"
<question>
Write a python function to find the maximum sum of elements of list in a list of lists.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: maximum_Sum</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def maximum_Sum(list_of_lists):
    """"""
    This function finds the maximum sum of elements of list in a list of lists.

    Args:
        list_of_lists (list): A list containing lists as elements.

    Returns:
        int: The maximum sum of elements in a list.
    """"""
    return max(sum(sublist) for sublist in list_of_lists)"
24,Write a function to convert the given binary number to its decimal equivalent.,"def binary_to_decimal(binary): 
    binary1 = binary 
    decimal, i, n = 0, 0, 0
    while(binary != 0): 
        dec = binary % 10
        decimal = decimal + dec * pow(2, i) 
        binary = binary//10
        i += 1
    return (decimal)","['assert binary_to_decimal(100) == 4'
 'assert binary_to_decimal(1011) == 11'
 'assert binary_to_decimal(1101101) == 109']",,[],binary_to_decimal,"
<question>
Write a function to convert the given binary number to its decimal equivalent.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: binary_to_decimal</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def binary_to_decimal(binary_number):
    """"""
    Converts a given binary number to its decimal equivalent.

    Args:
    binary_number (str): A string representing a binary number.

    Returns:
    int: The decimal equivalent of the binary number.

    Raises:
    ValueError: If the input is not a string or contains non-binary digits.
    """"""
    
    # Check if the input is a string and contains only binary digits
    if not isinstance(binary_number, str) or not set(binary_number).issubset({'0', '1'}):
        raise ValueError(""Invalid binary number"")

    # Initialize the decimal number
    decimal_number = 0
    
    # Iterate over the binary number from right to left
    for i, bit in enumerate(reversed(binary_number)):
        # If the bit is '1', add the corresponding power of 2 to the decimal number
        if bit == '1':
            decimal_number += 2 ** i
    
    # Return the decimal number
    return decimal_number"
25,Write a python function to find the product of non-repeated elements in a given array.,"def find_Product(arr,n): 
    arr.sort() 
    prod = 1
    for i in range(0,n,1): 
        if (arr[i - 1] != arr[i]): 
            prod = prod * arr[i] 
    return prod; ","['assert find_Product([1,1,2,3],4) == 6'
 'assert find_Product([1,2,3,1,1],5) == 6'
 'assert find_Product([1,1,4,5,6],5) == 120']",,"['assert find_Product([1,1,4,5,6,5,7,1,1,3,4],11) == 2520']",find_Product,"
<question>
Write a python function to find the product of non-repeated elements in a given array.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: find_Product</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def find_Product(arr):
    """"""
    This function calculates the product of non-repeated elements in a given array.

    Parameters:
    arr (list): The input list of numbers.

    Returns:
    int: The product of non-repeated elements in the array.
    """"""
    
    # Create a dictionary to store the frequency of each element in the array
    frequency_dict = {}
    
    # Iterate over the array to calculate the frequency of each element
    for num in arr:
        if num in frequency_dict:
            frequency_dict[num] += 1
        else:
            frequency_dict[num] = 1
    
    # Initialize the product
    product = 1
    
    # Iterate over the dictionary to calculate the product of non-repeated elements
    for num, freq in frequency_dict.items():
        if freq == 1:
            product *= num
    
    # If no non-repeated elements are found, return 0 or any suitable value
    if product == 1:
        product = 'No non-repeated elements found'
    
    return product"
26,Write a function to check if the given tuple list has all k elements.,"def check_k_elements(test_list, K):
  res = True
  for tup in test_list:
    for ele in tup:
      if ele != K:
        res = False
  return (res) ","['assert check_k_elements([(4, 4), (4, 4, 4), (4, 4), (4, 4, 4, 4), (4, )], 4) == True'
 'assert check_k_elements([(7, 7, 7), (7, 7)], 7) == True'
 'assert check_k_elements([(9, 9), (9, 9, 9, 9)], 7) == False']",,"['assert check_k_elements([(4, 4), (4, 4, 4), (4, 4), (4, 4, 6, 4), (4, )], 4) == False']",check_k_elements,"
<question>
Write a function to check if the given tuple list has all k elements.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: check_k_elements</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def check_k_elements(tuple_list, k):
    """"""
    Check if all tuples in the list have k elements.
    
    Args:
        tuple_list (list): A list of tuples.
        k (int): The expected number of elements in each tuple.
    
    Returns:
        bool: True if all tuples have k elements, False otherwise.
    """"""
    return all(len(t) == k for t in tuple_list)"
27,Write a python function to remove all digits from a list of strings.,"import re  
def remove(list): 
    pattern = '[0-9]'
    list = [re.sub(pattern, '', i) for i in list] 
    return list","[""assert remove(['4words', '3letters', '4digits']) == ['words', 'letters', 'digits']""
 ""assert remove(['28Jan','12Jan','11Jan']) == ['Jan','Jan','Jan']""
 ""assert remove(['wonder1','wonder2','wonder3']) == ['wonder','wonder','wonder']""]",,[],remove,"
<question>
Write a python function to remove all digits from a list of strings.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: remove</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def remove(lst):
    return [''.join(filter(str.isalpha, string)) for string in lst]"
28,Write a python function to find binomial co-efficient.,"def binomial_Coeff(n,k): 
    if k > n : 
       return 0
    if k==0 or k ==n : 
        return 1 
    return binomial_Coeff(n-1,k-1) + binomial_Coeff(n-1,k) ","['assert binomial_Coeff(5,2) == 10' 'assert binomial_Coeff(4,3) == 4'
 'assert binomial_Coeff(3,2) == 3']",,"['assert binomial_Coeff(14,6) == 3003']",binomial_Coeff,"
<question>
Write a python function to find binomial co-efficient.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: binomial_Coeff</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def binomial_Coeff(n, k):
    """"""
    This function calculates the binomial co-efficient at row 'n' and column 'k'.
    
    Binomial co-efficient is the nth number in the kth row of the Pascal's triangle.
    
    :param n: The row number.
    :param k: The column number.
    :return: The binomial co-efficient at row 'n' and column 'k'.
    """"""

    if k > n:
        raise ValueError(""k cannot be greater than n"")

    # If k is greater than n-k, then it's the same as n choose n-k
    if k > n - k:
        k = n - k

    # Initialize the co-efficient
    coeff = 1

    # Calculate the co-efficient using the formula for combinations
    for i in range(k):
        coeff *= (n - i) / (i + 1)

    return coeff"
29,Write a python function to find the element occurring odd number of times.,"def get_Odd_Occurrence(arr,arr_size):   
    for i in range(0,arr_size): 
        count = 0
        for j in range(0,arr_size): 
            if arr[i] == arr[j]: 
                count+=1     
        if (count % 2 != 0): 
            return arr[i]     
    return -1","['assert get_Odd_Occurrence([1,2,3,1,2,3,1],7) == 1'
 'assert get_Odd_Occurrence([1,2,3,2,3,1,3],7) == 3'
 'assert get_Odd_Occurrence([2,3,5,4,5,2,4,3,5,2,4,4,2],13) == 5']",,[],get_Odd_Occurrence,"
<question>
Write a python function to find the element occurring odd number of times.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: get_Odd_Occurrence</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","from collections import Counter

def get_Odd_Occurrence(nums):
    """"""
    Find the element occurring an odd number of times in a list.

    Args:
        nums (list): A list of integers.

    Returns:
        int: The element occurring an odd number of times, otherwise None if no such element exists.
    """"""
    count = Counter(nums)
    for num, freq in count.items():
        if freq % 2 != 0:
            return num
    return None

def get_Odd_Occurrence_no_lib(nums):
    """"""
    Find the element occurring an odd number of times in a list (no library).

    Args:
        nums (list): A list of integers.

    Returns:
        int: The element occurring an odd number of times, otherwise None if no such element exists.
    """"""
    count = {}
    for num in nums:
        if num in count:
            count[num] += 1
        else:
            count[num] = 1
    for num, freq in count.items():
        if freq % 2 != 0:
            return num
    return None

def get_Odd_Occurrence_xor(nums):
    """"""
    Find the element occurring an odd number of times in a list (xor method).

    Args:
        nums (list): A list of integers.

    Returns:
        int: The element occurring an odd number of times, otherwise None if no such element exists.
    """"""
    result = 0
    for num in nums:
        result ^= num
    return result"
30,Write a python function to count all the substrings starting and ending with same characters.,"def check_Equality(s): 
    return (ord(s[0]) == ord(s[len(s) - 1])); 
def count_Substring_With_Equal_Ends(s): 
    result = 0; 
    n = len(s); 
    for i in range(n): 
        for j in range(1,n-i+1):  
            if (check_Equality(s[i:i+j])): 
                result+=1; 
    return result; ","['assert count_Substring_With_Equal_Ends(""abc"") == 3'
 'assert count_Substring_With_Equal_Ends(""abcda"") == 6'
 'assert count_Substring_With_Equal_Ends(""ab"") == 2']",,[],count_Substring_With_Equal_Ends,"
<question>
Write a python function to count all the substrings starting and ending with same characters.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: count_Substring_With_Equal_Ends</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def count_Substring_With_Equal_Ends(string):
    """"""
    This function counts all the substrings in a given string 
    that start and end with the same character.
    
    Parameters:
    string (str): The input string.
    
    Returns:
    int: The number of substrings that start and end with the same character.
    """"""
    count = 0
    for i in range(len(string)):
        for j in range(i + 1, len(string) + 1):
            substring = string[i:j]
            if substring[0] == substring[-1]:
                count += 1
    return count"
31,Write a function to find the top k integers that occur most frequently from given lists of sorted and distinct integers using heap queue algorithm.,"def func(nums, k):
    import collections
    d = collections.defaultdict(int)
    for row in nums:
        for i in row:
            d[i] += 1
    temp = []
    import heapq
    for key, v in d.items():
        if len(temp) < k:
            temp.append((v, key))
            if len(temp) == k:
                heapq.heapify(temp)
        else:
            if v > temp[0][0]:
                heapq.heappop(temp)
                heapq.heappush(temp, (v, key))
    result = []
    while temp:
        v, key = heapq.heappop(temp)
        result.append(key)
    return result","['assert func([[1, 2, 6], [1, 3, 4, 5, 7, 8], [1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]],3)==[5, 7, 1]'
 'assert func([[1, 2, 6], [1, 3, 4, 5, 7, 8], [1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]],1)==[1]'
 'assert func([[1, 2, 6], [1, 3, 4, 5, 7, 8], [1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]],5)==[6, 5, 7, 8, 1]']",,[],func,"
<question>
Write a function to find the top k integers that occur most frequently from given lists of sorted and distinct integers using heap queue algorithm.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: func</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","import heapq
from collections import Counter

def func(nums, k):
    """"""
    This function finds the top k integers that occur most frequently 
    from given lists of sorted and distinct integers using heap queue algorithm.

    Args:
    nums (list): A list of lists containing sorted and distinct integers.
    k (int): The number of top frequent integers to find.

    Returns:
    list: A list of the top k most frequent integers.
    """"""
    
    # Flatten the list of lists into a single list
    flat_list = [num for sublist in nums for num in sublist]
    
    # Count the frequency of each integer
    freq = Counter(flat_list)
    
    # Use a heap queue to find the top k frequent integers
    top_k = heapq.nlargest(k, freq, key=freq.get)
    
    return top_k"
